Det Noun Lemma UniFreq BigFreq BigSurp File Turn Start Stop LengthSeconds LengthOrth IU Speaker IUPos IU_len_words relative_IUPos IU_len_secs speech_rate unique_chunk_number POS newIUPos
any rate rate 45355 1317 3.53916400131 SBC060.trn 38 423.619 423.789 0.17 4 82627 ALAN 3 3 1.0 0.364999999999952 8.219178082192862 73667 NOUN 2.0
a cup cup 22959 4510 1.62741286298 SBC032.trn 646 970.659 970.889 0.23 3 45933 TOM_2 3 5 0.6 0.990999999999985 5.045408678103 39849 NOUN 2.0
the shower shower 6939 2708 0.940947316867 SBC052.trn 282 671.617 671.8069 0.1899 6 72692 CINDY 18 18 1.0 1.9699000000000504 9.137519671049052 64399 NOUN 17.0
the engine engine 12439 5870 0.750982064388 SBC007.trn 182 866.1201 866.3701 0.25 6 8624 MARY 7 10 0.7 1.75990000000002 5.68214103074033 7426 NOUN 1.0
the frog frog 1543 717 0.766408011764 SBC054.trn 136 1087.462 1087.792 0.33 4 75049 CYNTHIA 7 8 0.875 3.06999999999994 2.60586319218246 66617 NOUN 3.0
the signs sign 17923 2231 2.0836348888 SBC009.trn 213 1037.09 1037.45 0.36 5 11652 KATHY 7 8 0.875 1.3599999999999 5.882352941176901 10293 NOUN 6.0
the register register 5612 709 2.06880691469 SBC029.trn 269 687.65 688.26 0.61 8 41094 SETH 5 5 1.0 1.16999999999996 4.27350427350442 35353 NOUN 4.0
a jacket jacket 9988 706 2.64952441391 SBC019.trn 253 520.7669999999998 521.217 0.45 6 27466 FRANK 19 19 1.0 0.980000000000018 19.3877551020405 22622 NOUN 4.0
a place place 178530 22554 2.06884422051 SBC035.trn 220 368.544 368.844 0.3 5 48591 PATTY 10 10 1.0 1.87199999999996 5.34188034188046 42240 NOUN 9.0
the steaks steak 439 169 0.954600698152 SBC013.trn 1238 1278.09 1278.63 0.54 6 16782 MARCI 11 11 1.0 2.32000000000016 4.741379310344491 14925 NOUN 10.0
this pair pair 18325 194 4.54816336769 SBC006.trn 332 852.61 852.78 0.17 4 7357 ALINA 14 20 0.7 1.9700000000000304 10.1522842639593 6222 NOUN 4.0
that way way 419794 21780 2.95877199726 SBC020.trn 10 424.736 425.076 0.34 3 29287 JEFF 7 7 1.0 2.5900000000000296 2.70270270270267 24318 NOUN 6.0
the molecules molecule 1869 339 1.70715870008 SBC027.trn 100 895.75 896.36 0.61 9 37414 PHIL 17 20 0.85 1.60000000000002 12.4999999999998 31975 NOUN 1.0
